"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","686593","Opening the NOAH and drwaing the audiogram","","2026-09-01","passed","2026-09-01","","","",""
"","19660","Launching NOAH","","2026-09-01","passed","2026-09-01","","","",""
"","27868","Lauching FSW","","2026-09-01","passed","2026-09-01","","","",""
"","28577","Launching FDTS","","2026-09-01","passed","2026-09-01","","","",""
"","87576","Changing the target rule in FSW","","2026-09-01","broken","2026-09-01","","","",""
