"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41587","Lauching FSW","","2026-09-01","passed","2026-09-01","","","",""
"","19532","Launching NOAH","","2026-09-01","passed","2026-09-01","","","",""
"","703768","Opening the NOAH and drwaing the audiogram","","2026-09-01","passed","2026-09-01","","","",""
"","28729","Launching FDTS","","2026-09-01","passed","2026-09-01","","","",""
"","81712","Changing the target rule in FSW","","2026-09-01","broken","2026-09-01","","","",""
